_id,PROVIDER,ADDRESS,FACILITY_NAME,POSTAL_CODE,geometry
1,Toronto Police Services,2054 Davenport Road,11 Division,M6N 1C8,"{u'type': u'Point', u'coordinates': (-79.4608250666, 43.6710711235)}"
2,Toronto Police Services,200 Trethewey Drive,12 Division,M6M 5E6,"{u'type': u'Point', u'coordinates': (-79.4868725404, 43.6945705556)}"
3,Toronto Police Services,1435 Eglinton Avenue West,13 Division,M6C 3Z4,"{u'type': u'Point', u'coordinates': (-79.4366797565, 43.6983186592)}"
4,Toronto Police Services,350 Dovercourt Road,14 Division,M6J 3E3,"{u'type': u'Point', u'coordinates': (-79.425977959, 43.6512969102)}"
5,Toronto Police Services,3699 Bloor Street West,22 Division,M9A 1A2,"{u'type': u'Point', u'coordinates': (-79.5291812758, 43.6430983188)}"
6,Toronto Police Services,5230 Finch Avenue West,23 Division,M9V 0A1,"{u'type': u'Point', u'coordinates': (-79.5835183809, 43.7438574702)}"
7,Toronto Police Services,40 Norfinch Drive,31 Division,M3N 1X1,"{u'type': u'Point', u'coordinates': (-79.5274709954, 43.756741875)}"
8,Toronto Police Services,30 Ellerslie Avenue,32 Division,M2N 1X8,"{u'type': u'Point', u'coordinates': (-79.4150839351, 43.7717196003)}"
9,Toronto Police Services,50 Upjohn Road,33 Division,M3B 2W1,"{u'type': u'Point', u'coordinates': (-79.350065436, 43.751073042)}"
10,Toronto Police Services,2222 Eglinton Avenue East,41 Division,M1K 2M2,"{u'type': u'Point', u'coordinates': (-79.2771072499, 43.7307968924)}"
11,Toronto Police Services,242 Milner Avenue,42 Division,M1S 5C4,"{u'type': u'Point', u'coordinates': (-79.2400089024, 43.7893652821)}"
12,Toronto Police Services,4331 Lawrence Avenue East,43 Division,M1E 2T4,"{u'type': u'Point', u'coordinates': (-79.1740534091, 43.7708267406)}"
13,Toronto Police Services,51 Parliament Street,51 Division,M5A 2Y5,"{u'type': u'Point', u'coordinates': (-79.3621390105, 43.6519428059)}"
14,Toronto Police Services,255 Dundas Street West,52 Division,M5T 2W5,"{u'type': u'Point', u'coordinates': (-79.3897143571, 43.6542004358)}"
15,Toronto Police Services,75 Eglinton Avenue West,53 Division,M4R 2G9,"{u'type': u'Point', u'coordinates': (-79.4006585666, 43.706051421)}"
16,Toronto Police Services,41 Cranfield Road,54 Division,M4B 3H6,"{u'type': u'Point', u'coordinates': (-79.3094795584, 43.7145997819)}"
17,Toronto Police Services,101 Coxwell Avenue,55 Division,M4L 3B3,"{u'type': u'Point', u'coordinates': (-79.3172961299, 43.6691714301)}"
18,Toronto Police Services,9 Hanna Avenue,Traffic Services/Central Garage,M6K 1W8,"{u'type': u'Point', u'coordinates': (-79.4172208014, 43.6376228367)}"
19,Toronto Police Services,39 Howden Road,East Collision Reporting Centre,M1R 3C7,"{u'type': u'Point', u'coordinates': (-79.2882346934, 43.74954689)}"
20,Toronto Police Services,113 Toryork Drive,North Collision Reporting Centre,M9L 1X9,"{u'type': u'Point', u'coordinates': (-79.5515319167, 43.7564005694)}"
21,Toronto Police Services,91 Manitoba Drive,Mounted Unit,M6K 3C3,"{u'type': u'Point', u'coordinates': (-79.4180945629, 43.6352580377)}"
22,Toronto Police Services,70 Birmingham Street,Toronto Police College,M8V 3W6,"{u'type': u'Point', u'coordinates': (-79.5034791058, 43.6050756359)}"
23,Toronto Police Services,40 College Street,Headquarters,M5G 2J3,"{u'type': u'Point', u'coordinates': (-79.385139665, 43.6613491317)}"
24,Toronto Police Services,330 Progress Avenue,Parking Enforcement East/Headquarters,M1P 2Z4,"{u'type': u'Point', u'coordinates': (-79.2685354552, 43.7741645339)}"
25,Toronto Police Services,970 Lawrence Avenue West,Parking Enforcement West,M6A 3B6,"{u'type': u'Point', u'coordinates': (-79.4582891072, 43.7137524308)}"
26,Toronto Police Services,259 Queens Quay West,Marine Headquarters,M5V 1A2,"{u'type': u'Point', u'coordinates': (-79.3858708187, 43.6378612698)}"
27,Toronto Police Services,2050 Jane Street Building B,Fleet/Garage Storage/Radio & Electronics,M9N 2V3,"{u'type': u'Point', u'coordinates': (-79.509211566, 43.7162818048)}"
28,Toronto Police Services,2050 Jane Street Bld. A,Forensics Identification Services (FIS),M9N 2V3,"{u'type': u'Point', u'coordinates': (-79.509211566, 43.7162818048)}"
29,Toronto Police Services,951 Wilson Avenue,Telecom,M3K 2A7,"{u'type': u'Point', u'coordinates': (-79.4753382728, 43.72801969)}"
30,Toronto Police Services,44 Beechwood Drive,Police Dog Services,M4K 3H8,"{u'type': u'Point', u'coordinates': (-79.3544361968, 43.696607962)}"
31,Toronto Police Services,40 Toryork Drive,Police Vehicle Operations,M9L 1X6,"{u'type': u'Point', u'coordinates': (-79.5451711892, 43.7545480598)}"
32,Toronto Police Services,18 Cranfield Road,Cranfield Garage,M4B 3G7,"{u'type': u'Point', u'coordinates': (-79.3139855285, 43.7104617179)}"
